directory, treatment, target, newcov,  oldcov, newtssize, origtsize
/scratch/alipour/replica1/src/3/16/half_swarm,half_swarm,8879,2,5,686,2522
/scratch/alipour/replica1/src/3/17/no_swarm,no_swarm,7206,0,15,630,2522
/scratch/alipour/replica1/src/3/17/half_swarm,half_swarm,7206,4,15,806,2522
/scratch/alipour/replica1/src/3/18/no_swarm,no_swarm,24641,95,12,714,2522
/scratch/alipour/replica1/src/3/18/half_swarm,half_swarm,24641,8,12,804,2522
/scratch/alipour/replica1/src/3/19/no_swarm,no_swarm,7122,88,74,822,2522
/scratch/alipour/replica1/src/3/19/half_swarm,half_swarm,7122,27,74,796,2522
/scratch/alipour/replica1/src/3/20/no_swarm,no_swarm,16477,123,5,692,2522
/scratch/alipour/replica1/src/3/20/half_swarm,half_swarm,16477,2,5,815,2522
/scratch/alipour/replica1/src/3/21/no_swarm,no_swarm,25592,822,32,822,2522
/scratch/alipour/replica1/src/3/21/half_swarm,half_swarm,25592,37,32,802,2522
/scratch/alipour/replica1/src/3/22/half_swarm,half_swarm,10379,1,3,814,2522
/scratch/alipour/replica1/src/3/23/half_swarm,half_swarm,25305,32,70,812,2522
/scratch/alipour/replica1/src/3/24/no_swarm,no_swarm,14905,5,3,629,2522
/scratch/alipour/replica1/src/3/24/half_swarm,half_swarm,14905,5,3,822,2522
/scratch/alipour/replica1/src/3/25/no_swarm,no_swarm,7763,40,46,639,2522
/scratch/alipour/replica1/src/3/25/half_swarm,half_swarm,7763,14,46,465,2522
/scratch/alipour/replica1/src/3/26/no_swarm,no_swarm,29797,98,12,725,2522
/scratch/alipour/replica1/src/3/26/half_swarm,half_swarm,29797,11,12,1018,2522
/scratch/alipour/replica1/src/3/27/no_swarm,no_swarm,20867,39,16,1030,2522
/scratch/alipour/replica1/src/3/27/half_swarm,half_swarm,20867,13,16,1029,2522
/scratch/alipour/replica1/src/3/28/half_swarm,half_swarm,22358,3,3,1022,2522
/scratch/alipour/replica1/src/3/29/no_swarm,no_swarm,6927,100,74,1022,2522
/scratch/alipour/replica1/src/3/29/half_swarm,half_swarm,6927,39,74,1002,2522
/scratch/alipour/replica1/src/3/30/no_swarm,no_swarm,14440,235,9,852,2522
/scratch/alipour/replica1/src/3/30/half_swarm,half_swarm,14440,8,9,995,2522
/scratch/alipour/replica1/src/3/31/no_swarm,no_swarm,7073,48,60,1000,2522
/scratch/alipour/replica1/src/3/31/half_swarm,half_swarm,7073,38,60,1008,2522
/scratch/alipour/replica1/src/3/32/no_swarm,no_swarm,18404,158,31,1020,2522
/scratch/alipour/replica1/src/3/32/half_swarm,half_swarm,18404,33,31,1032,2522
/scratch/alipour/replica1/src/3/33/half_swarm,half_swarm,7690,2,15,796,2522
/scratch/alipour/replica1/src/3/34/no_swarm,no_swarm,7429,32,60,687,2522
/scratch/alipour/replica1/src/3/34/half_swarm,half_swarm,7429,28,60,794,2522
/scratch/alipour/replica1/src/3/35/no_swarm,no_swarm,29679,96,12,707,2522
/scratch/alipour/replica1/src/3/35/half_swarm,half_swarm,29679,5,12,796,2522
/scratch/alipour/replica1/src/3/36/no_swarm,no_swarm,6936,78,74,815,2522
/scratch/alipour/replica1/src/3/36/half_swarm,half_swarm,6936,32,74,818,2522
/scratch/alipour/replica2/src/6/0/half_swarm,half_swarm,3835,1,7,754,2610
/scratch/alipour/replica2/src/6/1/half_swarm,half_swarm,12232,1,7,737,2610
/scratch/alipour/replica2/src/6/2/no_swarm,no_swarm,7299,16,30,516,2610
/scratch/alipour/replica2/src/6/2/half_swarm,half_swarm,7299,12,30,727,2610
/scratch/alipour/replica2/src/6/3/no_swarm,no_swarm,21427,2,9,508,2610
/scratch/alipour/replica2/src/6/3/half_swarm,half_swarm,21427,2,9,734,2610
/scratch/alipour/replica2/src/6/4/half_swarm,half_swarm,24633,7,13,740,2610
/scratch/alipour/replica2/src/6/5/no_swarm,no_swarm,12688,745,27,745,2610
/scratch/alipour/replica2/src/6/5/half_swarm,half_swarm,12688,41,27,679,2610
/scratch/alipour/replica2/src/6/6/no_swarm,no_swarm,17962,447,40,644,2610
/scratch/alipour/replica2/src/6/6/half_swarm,half_swarm,17962,30,40,760,2610
/scratch/alipour/replica2/src/6/7/no_swarm,no_swarm,18434,143,50,823,2610
/scratch/alipour/replica2/src/6/7/half_swarm,half_swarm,18434,42,50,734,2610
/scratch/alipour/replica2/src/6/8/half_swarm,half_swarm,29689,4,13,727,2610
